KOD;CENA;POPIS;PLATNOST_OD;PLATNOST_DO
23969;1.02;;01.01.1993;30.01.2014
24067;1.26;;24.09.1998;
24068;1.25;;24.09.1998;
24077;1.28;;24.09.1998;
24078;1.26;;24.09.1998;
24089;1.22;;24.09.1998;
24099;1.24;;24.09.1998;
24167;1.26;;24.09.1998;
24168;1.25;;24.09.1998;
24177;1.28;;24.09.1998;
24178;1.26;;24.09.1998;
24189;1.22;;24.09.1998;
24199;1.24;;24.09.1998;
24200;12.89;;24.09.1998;
24210;11.25;;01.01.1993;
24600;10.83;;24.09.1998;
24602;9.12;;01.01.1993;
24610;9.38;;01.01.1993;
24612;7.81;;01.01.1993;
24613;6.42;;01.01.1993;
24700;7.65;;28.06.2002;
24702;6.3;;24.09.1998;
24710;6.78;;28.06.2002;
24712;5.47;;28.06.2002;
24713;4.24;;28.06.2002;
24742;3.81;;28.06.2002;
24743;3.14;;28.06.2002;
24752;4.39;;28.06.2002;
24753;3.61;;28.06.2002;
24811;7.78;;24.09.1998;
24814;4.94;;24.09.1998;
24841;6.11;;28.06.2002;
24844;3.25;;28.06.2002;
24851;6.61;;28.06.2002;
24854;3.6;;28.06.2002;
25001;7.7;;24.09.1998;
25004;4.75;;01.01.1993;
25011;6.61;;24.09.1998;
25014;3.75;;24.09.1998;
25041;4.83;;24.09.1998;
25044;2.47;;01.01.1993;
25051;5.38;;24.09.1998;
25054;2.71;;01.01.1993;
25111;5.78;;24.09.1998;
25113;4.21;;24.09.1998;
25141;4.24;;28.06.2002;
25151;4.53;;28.06.2002;
25201;6.86;;24.09.1998;
25211;6;;24.09.1998;
25241;4.43;;24.09.1998;
25251;4.7;;01.01.1993;
25301;6.57;;24.09.1998;
25303;5.05;;01.01.1993;
25311;5.76;;24.09.1998;
25313;4.13;;01.01.1993;
25341;4.12;;28.06.2002;
25351;4.77;;28.06.2002;
25411;4.91;;24.09.1998;
25441;3.5;;01.01.1993;
25451;3.9;;24.09.1998;
25500;9.15;;24.09.1998;
25600;14.02;;24.09.1998;
25700;11.53;;24.09.1998;
25800;10.39;;24.09.1998;
25900;8.51;;24.09.1998;
26000;17.03;;24.09.1998;
26100;14.63;;24.09.1998;
26200;10.21;;24.09.1998;
26300;4.98;;24.09.1998;
26401;5.67;;24.09.1998;
26411;5.08;;28.06.2002;
26501;3.33;;24.09.1998;
26511;3.12;;28.06.2002;
26601;1.45;;24.09.1998;
26701;1.45;;24.09.1998;
26811;1.43;;24.09.1998;
26841;1.39;;24.09.1998;
26901;1.69;;24.09.1998;
27001;4.11;;24.09.1998;
27101;3.27;;24.09.1998;
27201;1.74;;24.09.1998;
27311;1.43;;24.09.1998;
27313;1.41;;24.09.1998;
27341;1.39;;28.06.2002;
27343;1.35;;28.06.2002;
27411;1.43;;28.06.2002;
27413;1.41;;28.06.2002;
27441;1.39;;28.06.2002;
27443;1.35;;28.06.2002;
27541;1.39;;28.06.2002;
27543;1.35;;28.06.2002;
27641;1.39;;28.06.2002;
27643;1.35;;28.06.2002;
27769;1.15;;24.09.1998;
27789;1.15;;01.01.1993;
27869;1.15;;24.09.1998;
27889;1.15;;24.09.1998;
30100;19.13;;24.09.1998;
30110;17.63;;24.09.1998;
30112;15.69;;01.01.1993;
30200;19.02;;24.09.1998;
30210;17.41;;24.09.1998;
30212;15.55;;24.09.1998;
30300;19.79;;24.09.1998;
30401;9.64;;24.09.1998;
30411;8.01;;01.01.1993;
30501;11.85;;24.09.1998;
30511;10.64;;24.09.1998;
30600;15.65;;24.09.1998;
30602;13.57;;24.09.1998;
30610;14.34;;24.09.1998;
30612;12.11;;24.09.1998;
30640;9.75;;24.09.1998;
30650;9.75;;24.09.1998;
30700;14.79;;24.09.1998;
30710;13.52;;24.09.1998;
30740;8.99;;24.09.1998;
30750;8.99;;24.09.1998;
30800;14.61;;24.09.1998;
30810;12.88;;24.09.1998;
30840;9.67;;24.09.1998;
30850;9.67;;24.09.1998;
30900;18.08;;24.09.1998;
30910;16.74;;24.09.1998;
31000;17.92;;24.09.1998;
31010;16.52;;24.09.1998;
31100;14.74;;24.09.1998;
31110;13.31;;24.09.1998;
31200;15.9;;24.09.1998;
31210;14.61;;24.09.1998;
31212;12.85;;24.09.1998;
31213;11.99;;24.09.1998;
31300;14.56;;24.09.1998;
31310;13.08;;24.09.1998;
31313;10.37;;24.09.1998;
31400;15.6;;24.09.1998;
31410;14.34;;24.09.1998;
31440;12.56;;24.09.1998;
31450;12.56;;24.09.1998;
31500;15.39;;24.09.1998;
31510;14.18;;24.09.1998;
31512;12.24;;24.09.1998;
31513;11.32;;01.01.1993;
31540;12.16;;01.01.1993;
31542;10.61;;24.09.1998;
31543;9.67;;01.01.1993;
31550;12.16;;24.09.1998;
31552;10.61;;24.09.1998;
31553;9.67;;01.01.1993;
31602;10.15;;24.09.1998;
31700;8.96;;24.09.1998;
31710;8.05;;24.09.1998;
31811;8.66;;24.09.1998;
31814;6.03;;24.09.1998;
31841;7.48;;01.01.1993;
31844;4.86;;01.01.1993;
31851;7.48;;01.01.1993;
31854;4.86;;01.01.1993;
31901;11.96;;24.09.1998;
31904;8.73;;24.09.1998;
31911;10.73;;24.09.1998;
31914;7.39;;24.09.1998;
31941;9.31;;24.09.1998;
31944;6;;24.09.1998;
31951;9.31;;24.09.1998;
31954;6;;24.09.1998;
32001;9.34;;24.09.1998;
32004;6.72;;24.09.1998;
32011;8.35;;24.09.1998;
32014;5.9;;24.09.1998;
32041;7.28;;24.09.1998;
32044;5;;24.09.1998;
32051;7.28;;24.09.1998;
32054;5;;24.09.1998;
32110;5.7;;24.09.1998;
32112;5.07;;24.09.1998;
32113;4.45;;24.09.1998;
32142;4.13;;24.09.1998;
32143;3.66;;24.09.1998;
32152;4.13;;24.09.1998;
32153;3.66;;24.09.1998;
32210;6.64;;24.09.1998;
32212;5.77;;24.09.1998;
32213;5.4;;24.09.1998;
32242;5.13;;24.09.1998;
32243;4.46;;24.09.1998;
32252;5.13;;24.09.1998;
32253;4.46;;24.09.1998;
32310;7.4;;24.09.1998;
32312;6.3;;24.09.1998;
32313;5.85;;24.09.1998;
32411;8.79;;24.09.1998;
32414;6.19;;24.09.1998;
32441;7.66;;24.09.1998;
32444;5.3;;24.09.1998;
32451;7.66;;24.09.1998;
32454;5.3;;24.09.1998;
32501;11.06;;24.09.1998;
32504;7.82;;24.09.1998;
32511;10.09;;24.09.1998;
32514;6.7;;24.09.1998;
32541;8.08;;24.09.1998;
32544;5.56;;24.09.1998;
32551;8.08;;24.09.1998;
32554;5.56;;24.09.1998;
32601;10.11;;24.09.1998;
32604;7.11;;24.09.1998;
32611;8.68;;24.09.1998;
32614;6.09;;24.09.1998;
32641;7.51;;24.09.1998;
32644;5.12;;24.09.1998;
32651;7.51;;24.09.1998;
32654;5.12;;24.09.1998;
32701;7.48;;24.09.1998;
32704;5.63;;24.09.1998;
32711;6.62;;24.09.1998;
32714;5.06;;24.09.1998;
32741;5.72;;24.09.1998;
32744;4.15;;24.09.1998;
32751;5.72;;24.09.1998;
32754;4.15;;24.09.1998;
32801;11.84;;24.09.1998;
32804;8.63;;01.01.1993;
32811;10.52;;24.09.1998;
32814;7.16;;24.09.1998;
32841;9.17;;01.01.1993;
32844;5.78;;01.01.1993;
32851;9.17;;01.01.1993;
32854;5.78;;01.01.1993;
32901;10.24;;24.09.1998;
32904;6.96;;24.09.1998;
32911;8.74;;24.09.1998;
32914;5.92;;24.09.1998;
32941;7.43;;24.09.1998;
32944;4.98;;24.09.1998;
32951;7.43;;24.09.1998;
32954;4.98;;24.09.1998;
33001;11.13;;24.09.1998;
33004;7.87;;24.09.1998;
33011;10.28;;24.09.1998;
33014;7.05;;24.09.1998;
33041;8.48;;24.09.1998;
33044;5.67;;24.09.1998;
33051;8.48;;24.09.1998;
33054;5.67;;24.09.1998;
33101;7.42;;24.09.1998;
33104;5.92;;24.09.1998;
33111;6.81;;24.09.1998;
33114;5.22;;24.09.1998;
33121;5.94;;01.01.1993;30.01.2014
33124;4.55;;01.01.1993;30.01.2014
33131;5.94;;01.01.1993;30.01.2014
33134;4.55;;01.01.1993;30.01.2014
33141;6;;24.09.1998;
33144;4.55;;24.09.1998;
33151;6;;24.09.1998;
33154;4.55;;24.09.1998;
33201;6.61;;24.09.1998;
33204;5.06;;24.09.1998;
33221;6.03;;24.09.1998;
33224;4.51;;24.09.1998;
33231;6.03;;24.09.1998;
33234;4.51;;24.09.1998;
33241;5.41;;24.09.1998;
33244;3.91;;24.09.1998;
33251;5.41;;24.09.1998;
33254;3.91;;24.09.1998;
33301;11.73;;24.09.1998;
33304;8.12;;24.09.1998;
33311;10.52;;24.09.1998;
33314;6.35;;24.09.1998;
33341;8.71;;24.09.1998;
33344;5.08;;01.01.1993;
33351;8.71;;24.09.1998;
33354;5.08;;01.01.1993;
33715;2.4;;24.09.1998;
33716;1.94;;24.09.1998;
33745;2.05;;24.09.1998;
33746;1.69;;24.09.1998;
33755;2.05;;24.09.1998;
33756;1.69;;24.09.1998;
33815;2.66;;24.09.1998;
33816;2.05;;24.09.1998;
33845;2.27;;24.09.1998;
33846;1.77;;24.09.1998;
33855;2.27;;24.09.1998;
33856;1.77;;24.09.1998;
33909;1.26;;01.01.1993;
33919;1.25;;01.01.1993;
33929;1.25;;01.01.1993;
